,Job Type,Job Experience,Position,Vacancy Count,Company,Location,Industries,Job Title,Job Requirement,Job Salary,Skills,Date Created,Job Posting Link,Job Id,Language,Career Level,Salary Min,Salary Max
10,Full-time,1 to 4 years,Human Resources,1.0,Kompas Gramedia,"Jakarta, Indonesia",Technology,Organization Development Officer - Harian Kompas,"Conduct organizational reviews by making and developing organizational structures, reporting structure, work load analysis, MPP, job analysis and job evaluation to support the achievement of company’s vision
Conduct end to end performance appraisal process; consist of making individual job guideline, preparing performance appraisal implementation and recapitulation, and also propose reports related to performance appraisal.
Coordinate with training team to implement talent pool and individual development program (IDP), in order to fill in compentencies gap yet succession management.
Coordinate with other department/division to create, develop and implement professional career path system.
Update the organizational structure, report structure, job analysis and job evaluation if there are changes.", 0 – 0,"Microsoft Excel, Communication Skills, Human Resources",2022-05-06,https://www.techinasia.com/jobs/bc76ea95-7ee7-4e8e-a187-91a6554eeefd,7014298732,en,Junior Level,0.0,0.0
11,Full-time,1 to 4 years,Logistics & Operations,1.0,Pasifik Satelit Nusantara,"Cikarang, Indonesia",Others,Asset Management,No Description, 5500000 – 6500000,"Microsoft Office, Communication Skills, Telecommunications",2022-05-06,https://www.techinasia.com/jobs/6b46c76d-f458-4088-afd1-49ae23876b36,4442689377,en,Junior Level,5500000.0,6500000.0
13,Full-time,1 to 4 years,Human Resources,1.0,Jakmall,"Jakarta, Indonesia",Marketplaces,General Affair Staff,No Description, 4500000 – 6000000,"Networking, Troubleshooting, Microsoft Excel",2022-05-06,https://www.techinasia.com/jobs/0132ff39-f568-4298-9067-c5c1f6427567,1146704240,en,Junior Level,4500000.0,6000000.0
14,Full-time,1 to 4 years,Retail & Wholesale,1.0,PT Kawan Lama Sejahtera,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",SAP SD,"Bachelor degree of IT
Minimal experience 2 years
Good knowledge and exp in SAP SD (Sales Distribution), or other related SAPs", 15000000 – 25000000,"SAP, Retail Management, Coding",2022-05-06,https://www.techinasia.com/jobs/01ce29d1-8313-405d-9839-c925794dfb6d,7934835417,en,Junior Level,15000000.0,25000000.0
15,Full-time,1 to 4 years,UX/UI Design,1.0,AccelByte,"Yogyakarta, Indonesia",Technology,UI/UX Designer,"Collaborate with the product team to understand the product vision and solve user’s problem
You will collaborate daily with a diverse set of specialists, including product designers, product managers, tech leads, internal or external stakeholders to build a great user experience that balances business results with end-user delight
Practice and embrace hands-on design collaborations together with design and engineering team members
Develop human-centric wireframes and prototypes that delight clients and/or fulfill client requests and solve pain points
Design mock-ups and high-fidelity user interfaces, and iterate rapidly.
Create & maintain a user interface & user experience style guide
Provide product specs, copywriting, and UI elements/assets to engineers
Present the prototype or the implemented feature or product to the client
Review the implementation in the Live/Production Environment
Perform any other design-related duties as required", 6000000 – 8000000,"Adobe Photoshop, Adobe Illustrator, Prototype",2022-05-06,https://www.techinasia.com/jobs/10a77c1e-4f11-4c67-a5da-2be496b62cce,6706382540,en,Junior Level,6000000.0,8000000.0
16,Full-time,1 to 4 years,Project & Product Management,1.0,AccelByte,"Yogyakarta, Indonesia",Technology,Technical Project Manager,"Lead project planning by breaking down deliverables and milestones.
Lead sprint planning, and ticket grooming. Run daily scrum and manage the backlog.
Manage and negotiate requirements/change requests from clients.
Communicate project status and risks to key stakeholders.
Be familiar with similar and competing products in the marketplace
Perform any other design-related duties as required", 0 – 0,"Agile Project Management, SaaS, Amazon Web Services (AWS)",2022-05-06,https://www.techinasia.com/jobs/4dce0fae-fff1-4f73-a065-81644e4c3b42,6706382540,en,Junior Level,0.0,0.0
17,Full-time,1 to 4 years,Project & Product Management,1.0,AccelByte,"Yogyakarta, Indonesia",Technology,Associate Project Manager,"Manage phases of sanity test schedule for various clients to ensure on-time delivery
Manage team members based on the client's sanity test request.
Monitor the test progression, deployment activities, issues, and follow-ups.
Communicate with the release manager and client project managers regarding the status of the projects
Manage improvement for sanity tests based on issues, risks, and initiatives.
Communicate with the regression team lead for the latest updated version of the product.
Perform any other duties as required.", 0 – 0,"Agile Project Management, Communication Skills, Software Development",2022-05-06,https://www.techinasia.com/jobs/d40397e8-76fd-4b9c-a2aa-8216ea22494f,6706382540,en,Junior Level,0.0,0.0
18,Full-time,1 to 4 years,QA & Testing,1.0,AccelByte,"Yogyakarta, Indonesia",Technology,Software Quality Assurance,"Report to the QA Lead for AccelByte platform development department, working alongside producer or product manager as well as business stakeholders to gather product requirements and verify the acceptance criteria.
Develop and maintain test cases and scenarios for online gaming platform services.
Contribute to several testing types such as functional testing, exploratory testing, regression testing, and sanity testing.
Identify functionality and UI bugs in testing environments and document them with proper reproducible steps and supporting shreds of evidence.
Help to define, implement and drive the adoption of QA best practices and processes
Perform any other design-related duties as required", 5000000 – 7000000,"Test Plans, QA, Test Cases",2022-05-06,https://www.techinasia.com/jobs/fd76e01d-a0f6-4a65-9ac1-94bc3c079044,6706382540,en,Junior Level,5000000.0,7000000.0
19,Full-time,1 to 4 years,Sales & Business Development,1.0,Fashion Forth Indonesia,"Surabaya, Indonesia",Marketplaces,Relationship Manager,No Description, 7000000 – 10000000,"Sales  Marketing, Business Development, Business Development  Partnerships, Marketing, Sales Strategy  Management, Business Analysis, Communication Skills",2022-05-05,https://www.techinasia.com/jobs/41e67086-876e-455d-a749-b00d4f004835,6017874616,en,Junior Level,7000000.0,10000000.0
20,Full-time,1 to 4 years,Graphic & Motion Design,1.0,Aplikasi Super,"Surabaya, Indonesia",Marketplaces,Senior Graphic Designer,"More than a Work
Working at Super is not just about completing tasks from your boss. We all here consider this as a live action game where you are running the match to prove your ability. Here you will get full support, trust, and opportunities to complete your mission and develop yourself to become a great and tough person.
Big Impact
Becoming part of our mission to create a massive impact in East Indonesia, to improve economic equality distribution in the rural area, create jobs for the villagers and help them improve their family financial, as well as build a hyperlocal supply chain to make goods more affordable for them.
Growth Mindset
We want you to possess a growth mindset. This is Super’s philosophy and foundation; We always try to push ourselves forward, even though we are at the top, we always think we are in second place, so that we never let our guard down and create innovations continuously.
Great Culture
We have a dynamic, open, and fun culture. We work hard, and must be agile and adaptive in every condition. We encourage collaboration between teams, value freedom of speech and no boundaries between us, even founders are available for questions, coffee, or to challenge to a karaoke or friendly game of FIFA.", 5000000 – 6000000,"Adobe Illustrator, Graphic Design, Adobe Photoshop, Brand  Identity Design",2022-05-05,https://www.techinasia.com/jobs/a6593b7e-916c-4efd-a47a-3855588d9ce2,7600699133,en,Junior Level,5000000.0,6000000.0
21,Full-time,1 to 4 years,Sales & Business Development,1.0,PT. Pinjaman Kemakmuran Rakyat,"Jakarta, Indonesia",Technology,Digital Marketing,No Description, 5000000 – 8000000,"SEO, Digital Marketing, Marketing Strategy, Content Marketing, Internet Marketing, Online Marketing, Social Media Marketing, Product Marketing, Sales  Marketing, Email Marketing, Marketing Communications, Marketing Management",2022-05-05,https://www.techinasia.com/jobs/7f136e87-ed6c-4795-9c36-3251ec3ced33,2074092768,en,Junior Level,5000000.0,8000000.0
22,Full-time,1 to 4 years,Web Development,5.0,PT. Pinjaman Kemakmuran Rakyat,"Jakarta, Indonesia",Technology,UI/UX Developer,No Description, 5000000 – 7000000,"UI/UX Design, Adobe Indesign, Adobe Photoshop, Video Editing",2022-05-05,https://www.techinasia.com/jobs/1c48e576-1b08-42df-917f-485d04d41bb1,2074092768,en,Junior Level,5000000.0,7000000.0
23,Full-time,1 to 4 years,Data & Analytics,1.0,PT. Pinjaman Kemakmuran Rakyat,"Jakarta, Indonesia",Technology,Business Analyst,No Description, 5000000 – 10000000,"Business Analysis, Business Plan, Business Strategy",2022-05-05,https://www.techinasia.com/jobs/a64c5a8f-83f5-413e-b2dc-ed192168a39f,2074092768,en,Junior Level,5000000.0,10000000.0
24,Full-time,1 to 4 years,Project & Product Management,3.0,PT. Pinjaman Kemakmuran Rakyat,"Jakarta, Indonesia",Technology,Project Manager IT,No Description, 5000000 – 15000000,"Project Leader, Project Management, Time Management",2022-05-05,https://www.techinasia.com/jobs/7355fa4a-4c69-4203-a106-a53326a7ed6a,2074092768,en,Junior Level,5000000.0,15000000.0
25,Full-time,1 to 4 years,Sales & Business Development,1.0,FOOM Lab Global,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Sales Trainer,"Design training materials & modules for sales force
Conduct training both hard & soft skills for sales force, merchandiser, SPG & Foom Reseller
Stay up-to-date with the latest market trends and demands of a seller’s environment
Gather insight both from individual or team to discuss about their performance; find the strengths and weaknesses of the Sales team as a way to collect information that can lead to insight for the Sales team development", 7000000 – 10000000,"Sales  Marketing, Communication Skills, Training, Sales Training",2022-05-05,https://www.techinasia.com/jobs/9b797527-6fd2-4e99-a9a5-f7b5179cc870,5414257570,en,Junior Level,7000000.0,10000000.0
26,Full-time,1 to 4 years,Sales & Business Development,4.0,FOOM Lab Global,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Area Sales Supervisor,"Grow and maintain relationship with customers from Wholesalers to Smaller Stores in area
Create effective strategy to achieve company’s target
Find new customers or potential business partner/clients
Execute sales action plans and liaise with marketing department for advertisements
Grab insight from the field about market trends, feedback and customers need in the field to the management
Analyze and evaluate effectivity of existing Sales & Marketing program", 5000000 – 8000000,"Sales  Marketing, Business Development  Partnerships, Sales Strategy  Management",2022-05-05,https://www.techinasia.com/jobs/03f8ee90-e162-4748-8dd9-3cf6087ac362,5414257570,en,Junior Level,5000000.0,8000000.0
27,Full-time,1 to 4 years,Data & Analytics,1.0,Little Joy Indonesia,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Business Analyst,"Identify, gather, collect, and analyze the required data points and its research mechanism (e.g Internal stakeholders, market research, new business models, business performance, business performance & analysis, etc)
Conduct analysis and prepare the report of every data points to become valuable information for every business units/ internal stakeholders
Determine priority scale and actionable items of improvement and efficient resolution
Ensuring that every data points are accessible, easy to understand, and align with company goals.  
Work closely with Business development and cofounding team to give analysis, and suggest new insight to grow their brand (increase traffic, basket size, revenue, repeat orders, churn prevention, cross-selling
Identify enterprise outbound leads through different channel", 5000000 – 6500000,"Business Analysis, Business Planning, MySQL, Sales Strategy  Management, Data Analysis",2022-05-05,https://www.techinasia.com/jobs/fb240bca-e491-4c66-9fb0-57975f2f7a50,4386406296,en,Junior Level,5000000.0,6500000.0
28,Full-time,1 to 4 years,Project & Product Management,1.0,EMOS GLOBAL DIGITAL,"Jakarta, Indonesia",Marketplaces,Implementation Support Officer,"support emos implementation from it bridging until live  
help to solve trouble & problem faced by partner's admin or salesman in the field  
analysis data support for each partners", 6000000 – 8000000,"Support, Information Technology, Project Management",2022-05-05,https://www.techinasia.com/jobs/e362e70f-5c92-4598-b8d1-3930d358b811,1012668009,en,Junior Level,6000000.0,8000000.0
29,Full-time,1 to 4 years,Project & Product Management,2.0,Jakmall,"Jakarta, Indonesia",Marketplaces,Product Manager,No Description, 7000000 – 17000000,"UI/UX Design, Product Research, Product Management, Product Design, Product Development",2022-05-05,https://www.techinasia.com/jobs/d55d9423-867d-4bfe-9739-fb11f704ee9a,1146704240,en,Junior Level,7000000.0,17000000.0
30,Full-time,1 to 4 years,Mobile Development,1.0,Jakmall,"Jakarta, Indonesia",Marketplaces,Mobile Developer,No Description, 8000000 – 12000000,"React.js, Mobile Application Development, Javascript, CSS, Mobile Development, Functional Testing, Redux",2022-05-05,https://www.techinasia.com/jobs/8665f867-1ebd-4ba7-9acc-aedaa8ffc54b,1146704240,en,Junior Level,8000000.0,12000000.0
31,Full-time,1 to 4 years,Web Development,2.0,Jakmall,"Jakarta, Indonesia",Marketplaces,Frontend Developer,"As a Frontend Developer you will write a good, clean, readable and reusable code that cover CSS, JS, and HTML.
You will working together with development and product team to achieve product goal.", 7000000 – 17000000,"React.js, UI/UX Design, HTML+CSS, Javascript, Javascript Frameworks, Vue.js",2022-05-05,https://www.techinasia.com/jobs/ed53b3ed-18ef-424b-b2d8-082d6782683e,1146704240,en,Junior Level,7000000.0,17000000.0
32,Full-time,1 to 4 years,Web Development,2.0,Niagahoster,"Yogyakarta, Indonesia",Technology,UX Researcher,"Collaborate with UIUX team and Product Development teams as the leader in understanding and quantifying users’ needs, goals, and behavior.  
Plan and create applicable user research strategies according to project needs or stages of the product’s life cycle.
Conduct an end-to-end research execution.
Work closely with cross-functional teams and develop trust and close relationships with customers/users/research participants.", 6000000 – 7000000,"Product Research, User Research, Design Research, User Experience (UX)",2022-05-05,https://www.techinasia.com/jobs/1917783c-de10-48ae-8cb2-baaf3652b938,9202816435,en,Junior Level,6000000.0,7000000.0
33,Full-time,1 to 4 years,Marketing & PR,4.0,Rocketindo,"Jakarta, Indonesia",Marketplaces,Online Sales Specialist - Day Shift,"Answer the questions from customers in WA / IG / E-commerce platforms, and try to convince customers to buy products.
Product categories: skin care / mom and baby / Hair care / sports bra.
Educate, selling and cross selling company various products
Handle customer complain.", 4500000 – 6000000,"Sales Strategy  Management, Digital Marketing, Communication Skills, Marketing Communications, Sales  Marketing",2022-05-05,https://www.techinasia.com/jobs/1eebe1c5-99dd-40ee-8e56-dda28868edbc,5767553228,en,Junior Level,4500000.0,6000000.0
34,Full-time,1 to 4 years,Web Development,2.0,Jakmall,"Jakarta, Indonesia",Marketplaces,Backend Developer (Remote),No Description, 7000000 – 17000000,"MySQL, Laravel, PHP, Github, Object-oriented Programming (OOP), Unit Testing, Symfony",2022-05-05,https://www.techinasia.com/jobs/441f5877-87fb-453b-ad1b-b9f7b621ccc1,1146704240,en,Junior Level,7000000.0,17000000.0
35,Full-time,1 to 4 years,Web Development,2.0,Jakmall,"Jakarta, Indonesia",Marketplaces,Backend Developer,"As a Backend Developer, you will write good, clean, readable and reusable code that cover PHP-Laravel and MySQL for scalable and optimized web-based application.
Design and implement secured data storage solutions
You will work together with development and product team to achieve product goals", 7000000 – 17000000,"MySQL, Laravel, PHP, Github, Object-oriented Programming (OOP), Unit Testing, Symfony",2022-05-05,https://www.techinasia.com/jobs/b61162d6-2a39-42f2-b009-159ccd523852,1146704240,en,Junior Level,7000000.0,17000000.0
36,Full-time,1 to 4 years,Project & Product Management,1.0,SIRCLO,"Tangerang, Indonesia",Marketplaces,Product Manager,"Work closely with  engineering teams to get high-quality products and features throughout the software development life cycle (build, test and release on time).
Manage technical projects or programs, develop as well as track milestones and schedule for the many moving parts that need to come together.
Ensure adoption of product among the customer base.
Use exceptional communication skills to understand and communicate both engineering issues and project strategy.
Work as a productive member of the team, work closely with engineers and execute ad hoc tasks.", 0 – 0,"Product Management, Product Development, Scrum, Agile Project Management",2022-05-04,https://www.techinasia.com/jobs/4a99db91-e649-48d2-b0a9-70dad49f28c7,8589791531,en,Junior Level,0.0,0.0
37,Contract,1 to 4 years,QA & Testing,1.0,OKHOME,"Jakarta, Indonesia",Customer Services,Quality Assurance Engineer,No Description, 0 – 0,"Test Automation, QA, Unit Testing, Usability Testing",2022-05-04,https://www.techinasia.com/jobs/3b0e8bb7-4d79-47ce-98ea-3fdbe2513d97,9509215400,en,Junior Level,0.0,0.0
38,Full-time,1 to 4 years,DevOps & Cloud Management,1.0,OKHOME,"Jakarta, Indonesia",Customer Services,DevOps Engineer,No Description, 0 – 0,"DevOps, System Administration, Cloud Computing",2022-05-04,https://www.techinasia.com/jobs/771b517f-ced0-43bc-a484-52a22e6ca4c3,9509215400,en,Junior Level,0.0,0.0
39,Full-time,1 to 4 years,Web Development,1.0,Sribu,"Jakarta, Indonesia",Design,Lead Developer,No Description, 11000000 – 15000000,"Github, React.js, Unix, Linux, PostgreSQL, Node.js, Amazon Web Services (AWS)",2022-05-04,https://www.techinasia.com/jobs/c27954b0-bd08-4498-b780-90e30c50e35e,9294865687,en,Junior Level,11000000.0,15000000.0
40,Full-time,1 to 4 years,UX/UI Design,1.0,Sribu,"Jakarta, Indonesia",Design,UI/UX Designer,No Description, 6000000 – 8000000,"UI/UX Design, HTML5  CSS3, Communication Skills",2022-05-04,https://www.techinasia.com/jobs/54003fd9-7f5c-452f-94bf-c16823cc8c5c,9294865687,en,Junior Level,6000000.0,8000000.0
41,Full-time,1 to 4 years,Sales & Business Development,1.0,Sribu,"Jakarta, Indonesia",Design,Digital Sales Consultant,"Detail-oriented
Analytical thinking
Good with numbers
Fast learner
Adaptable to change
Excellent communicator
Basic SEO and SEM of digital marketing knowledge", 5000000 – 8000000,"Analytical Skills, Communication Skills, SEO/SEM, Digital Marketing, Negotiation",2022-05-04,https://www.techinasia.com/jobs/e494fa9a-5231-4b41-9e8c-0795c8d24e9e,9294865687,en,Junior Level,5000000.0,8000000.0
42,Full-time,1 to 4 years,Project & Product Management,1.0,Sribu,"Jakarta, Indonesia",Design,Product Manager,"Be a customer advocate translating the needs of customers into a product.
Work with Engineering, Design, Marketing, Sales, Support and others to deliver a great product on-time, within budget and to-spec.
Crafting well-scoped, well-documented Product Requirements Documents to serve as clear references for work that developers take on.
Participating actively in the planning of upcoming sprints for progress, taking into account roadmap initiatives, developer bandwidth, and other factors.
Define and measure success metrics to gauge the impact of your product.
Conducting and summarizing user research in the form of user interviews, surveys, monitoring of customer feedback channels and session data.
Conduct competitive research when needed.
Curating our backlog to ensure we are scoring new ideas accurately for effort and impact, in order to shortlist those tasks with the most outsized return on engineering bandwidth.", 15000000 – 16000000,"Scrum, Jira, Agile, Strategic Planning",2022-05-04,https://www.techinasia.com/jobs/ed86fe9a-10a5-4095-9728-ba23aad5b536,9294865687,en,Junior Level,15000000.0,16000000.0
43,Full-time,1 to 4 years,Web Development,1.0,Sribu,"Jakarta, Indonesia",Design,DevOps Engineer,"Understanding the AWS cloud environment and IAAS.
Understanding the UNIX / LINUX operating system.
Knowledge about scripting language.
Understanding the 7 OSI layer concept.
Understanding the CI / CD concept.
Excellent collaborator and team-player.
At least 2 years of experience as a UNIX / LINUX administrator.
At least 2 years of experience managing database / application / middleware servers.", 5000000 – 6000000,"DevOps, Amazon Web Services (AWS), Unix, Linux",2022-05-04,https://www.techinasia.com/jobs/029df194-071b-4a1c-a3b7-c925742b91af,9294865687,en,Junior Level,5000000.0,6000000.0
44,Full-time,1 to 4 years,Web Development,1.0,Sribu,"Jakarta, Indonesia",Design,Back End Developer,"Having experience in React is a plus.
Excellent knowledge of the Postgres database, AWS, Redis, and UNIX-based operating systems.
Have experience in Mocha-based testing.
Have knowledge of how to use GIT version control.
Good communication skills,
Committed and focused on work results and targets.
Feel comfortable and capable of adapting to a constantly changing environment.
Having experience in the start-up world is a plus.", 7000000 – 8000000,"React.js, Git, Github, Node.js, Express.js, PostgreSQL",2022-05-04,https://www.techinasia.com/jobs/ca3a67dd-b944-4ecb-b1f4-023fbb726fee,9294865687,en,Junior Level,7000000.0,8000000.0
45,Full-time,1 to 4 years,Project & Product Management,1.0,Sribu,"Jakarta, Indonesia",Design,Digital Project Consultant Manager,No Description, 15000000 – 16000000,"Digital Marketing, Analytical Skills, Project Management, Digital Strategy, Team Leadership, Communication Skills, Strategic Planning",2022-05-04,https://www.techinasia.com/jobs/92c3c75a-2937-46e8-a302-31eb45124b55,9294865687,en,Junior Level,15000000.0,16000000.0
46,Full-time,1 to 4 years,Project & Product Management,1.0,Sribu,"Jakarta, Indonesia",Design,Digital Project Consultant,"Minimum age is 26 years old
Have minimum 1 year of work experience in Project Management and Client Handling
Marketing specialist, have knowledge and update to digital marketing
Able to multitask and work thoroughly
Have a good communication skill and adaptable
Highly committed on work result and target", 5000000 – 8000000,"Digital Marketing, SEO, Communication Skills, Project Management, Analytical Skills, Problem Solving",2022-05-04,https://www.techinasia.com/jobs/59fe3508-b3a1-4910-92e2-69a776b34eb5,9294865687,en,Junior Level,5000000.0,8000000.0
47,Full-time,1 to 4 years,Retail & Wholesale,1.0,Little Joy Indonesia,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Resellers & partnership acquisition,"Experiences in developing brand in the online community is preferable
Experience in community engagement management on social commerce, reseller program, which include marketing campaign and engaged contents.
Good verbal and persuasive communication skill in presenting the company, the brand, and the products 
Good team player, positive attitude, and eagerness to learn
Strong organizational skills, able to manage multiple projects simultaneously and strong attention to detail
Act as the main point of contact for incoming requests from resellers.
Perform after-sales duties and execute orders in a timely manner.
Maintain day-to-day tasks of reseller administrative duties with the rest of the team
Comfortable in ambitious targeted KPI, repurchase rate and passionate about baby commerce", 5000000 – 6500000,"Digital Marketing, Business Development, Communication Skills, Marketing Communications, Marketing Strategy, Sales Strategy  Management, Product Management",2022-05-03,https://www.techinasia.com/jobs/8aacf0d5-4734-41f4-a9fd-c5d70dc0c7bd,4386406296,en,Junior Level,5000000.0,6500000.0
48,Full-time,1 to 4 years,"Finance, Legal & Accounting",1.0,CV. Mitra Solusindo,"Bekasi, Indonesia",Business & Finance,Staff Accounting and Tax (Brevet A B),No Description, 5000000 – 6000000,"Accounting, Corporate Finance, Business Development",2022-05-01,https://www.techinasia.com/jobs/060d309a-cf30-40f5-af8b-8d8a5c3085cf,4037404531,en,Junior Level,5000000.0,6000000.0
49,Contract,1 to 4 years,Human Resources,1.0,SIRCLO,"Jakarta, Indonesia",Marketplaces,Talent Acquisition (Tech Recruiter),"Collaborate with users to identify hiring needs within the company.
Assist the company in developing employer branding strategies and executing the activities.
Fulfill vacant positions in the company through various methods.
Negotiate for a win-win solution for both the candidates and the company when it comes to the details of employment agreement.
Process employment agreement for new hires.
Facilitate onboarding and induction for new hires.
Work closely with the People Team and provide support for employer branding needs.", 6000000 – 8000000,"Recruiting, Human Resources, Technology",2022-04-29,https://www.techinasia.com/jobs/146511f8-a4b3-4ab0-a97b-f73cfb8cc085,8589791531,en,Junior Level,6000000.0,8000000.0
50,Contract,1 to 4 years,Human Resources,1.0,SIRCLO,"Jakarta, Indonesia",Marketplaces,Talent Acquisition Executive,"Collaborate with users to identify hiring needs within the company.
Assist the company in developing employer branding strategies and executing the activities.
Fulfill vacant positions in the company through various methods.
Negotiate for a win-win solution for both the candidates and the company when it comes to the details of employment agreement.
Process employment agreement for new hires.
Facilitate onboarding and induction for new hires.
Work closely with the People Team and provide support for employer branding needs.", 6000000 – 8000000,"Recruiting, E-commerce, Human Resources",2022-04-29,https://www.techinasia.com/jobs/6a0c4c2b-4983-4a15-81fa-6447b1d9da07,8589791531,en,Junior Level,6000000.0,8000000.0
